steps,delta_training_time_ms,episode_reward
0,0.0,209.73084398227905
5000,29675.681591033936,219.3439648769787
10000,25777.091026306152,215.59865613164948
15000,25814.10813331604,230.00027096002668
20000,25732.97882080078,282.0205757500073
25000,25802.9682636261,321.845948918549
30000,25770.952463150024,559.5629740462882
35000,25722.02205657959,1025.8455433984882
40000,25699.040412902832,452.236016099424
45000,25704.035997390747,984.170083663812
50000,25722.03493118286,322.36583982349174
55000,25758.052110671997,525.4101077955296
60000,25817.985773086548,531.6627702087806
65000,25898.11086654663,292.02120433952746
70000,26137.974500656128,248.02912988924155
75000,26009.151697158813,354.0427771042667
80000,25810.015439987183,355.62513880396375
85000,25750.091075897217,435.94413456667024
90000,25773.972988128662,333.4608609145899
95000,25787.99057006836,339.193724313918
100000,25800.023555755615,291.9900246799175
105000,25784.040451049805,285.4226289239976
110000,25806.184768676758,295.2808134985244
115000,25768.032550811768,345.1576763283979
120000,25763.939380645752,405.1822275291089
125000,25742.971420288086,310.7794187050843
130000,25785.06851196289,417.12387012512613
135000,25733.996152877808,439.9361410171226
140000,25765.045166015625,311.66411249405957
145000,25706.99191093445,396.15717119103454
150000,25690.013647079468,1562.617847307925
155000,25725.998401641846,379.6917651467913
160000,25700.080394744873,881.9336463026252
165000,25712.989330291748,395.22337462281274
170000,25764.077186584473,463.4527683072858
175000,25723.967790603638,709.761697863318
180000,25797.087907791138,1035.7732582966128
185000,25781.116247177124,527.6201139807134
190000,25724.061727523804,415.4033529142328
195000,25643.01061630249,360.669008910473
200000,25755.034923553467,620.8239524600791
205000,25745.002031326294,760.1320976733583
210000,25728.960275650024,681.7918187442308
215000,25742.11859703064,465.2419576169877
220000,25739.06683921814,612.2569295820058
225000,25742.097854614258,789.4960636647186
230000,25758.14199447632,606.7730148137732
235000,25716.036558151245,530.3739203345334
240000,25753.016471862793,497.39051865726907
245000,25758.014678955078,626.6436397295998
250000,25733.00266265869,792.5728667846045
255000,25746.007442474365,399.38965901285286
260000,25784.156799316406,352.6106567467699
265000,25750.020503997803,990.4978839090954
270000,25752.02775001526,429.54924197001236
275000,25812.021017074585,307.6941578014809
280000,25764.99319076538,549.440779534278
285000,25678.09009552002,810.5616556283804
290000,25708.11367034912,498.13413393297384
295000,25772.97806739807,882.6047615141146
300000,25758.97741317749,268.620730447763
305000,25789.06273841858,340.52871247752387
310000,25771.13699913025,476.91127101212425
315000,25732.073307037354,338.6308049130135
320000,25931.923866271973,619.7363373498499
325000,25821.990966796875,387.35921759160357
330000,25778.07354927063,355.797561368262
335000,25720.072269439697,2108.1035284472055
340000,25766.989946365356,1181.5800320864316
345000,25759.997367858887,1363.4701448520648
350000,25777.132272720337,476.0324138738443
355000,25756.05320930481,608.6401580727842
360000,25805.02152442932,569.2068468906243
365000,25773.976802825928,265.7964891649556
370000,25805.97162246704,461.0263057658444
375000,25782.992362976074,651.0637159735633
380000,25756.940841674805,1064.2129286097909
385000,25778.034210205078,432.505124035989
390000,25785.143613815308,455.8966846422688
395000,25754.002571105957,707.4301430962983
400000,25768.118858337402,860.8289332963532
405000,26570.032358169556,937.0562912246975
410000,27088.123321533203,958.0056254842196
415000,27346.012353897095,592.2545637781276
