steps,delta_training_time_ms,episode_reward
0,0.0,356.99286837840776
5000,21023.55909347534,333.2165741957997
10000,17807.14201927185,684.7093868080791
15000,18002.030611038208,220.21948640876542
20000,18071.120023727417,345.04272873945774
25000,17652.098655700684,322.6827596419891
30000,17727.3428440094,333.28431309213664
35000,17053.98178100586,331.9155340707639
40000,15961.058616638184,517.8665373896887
45000,17984.07530784607,387.831684972444
50000,18075.926542282104,1028.0795424394325
55000,17906.341314315796,733.9150745830343
60000,19045.543909072876,622.9272781343955
65000,18537.83679008484,997.8499778675615
70000,18090.112924575806,767.3157169936676
75000,18273.8938331604,654.6927648374837
80000,17915.310859680176,491287.08691316703
85000,15123.084545135498,1740.8472744281598
90000,15050.031423568726,1490.0395933120556
95000,15041.00227355957,1429.3768137198554
100000,15049.046277999878,1569.4132609629794
105000,15060.068845748901,1803.2017464674445
110000,15051.056623458862,1781.8253657432783
115000,15057.976245880127,1300.7966244614793
120000,15048.93684387207,983.123288805174
125000,15043.987512588501,409.4006813638813
130000,15049.072265625,775.1361656239521
135000,15049.052000045776,892.9184493456117
140000,15052.00982093811,1673.164734759079
145000,15068.01700592041,1825.1168790681158
150000,15061.039209365845,1210.730755987068
155000,15069.064378738403,1649.2836413409088
160000,15054.022550582886,1206.7920802109954
165000,15054.992198944092,951.7199972480325
170000,15048.975706100464,1575.7205966764336
175000,15195.029020309448,1104.6322659821833
180000,15062.034368515015,1480.1773192066219
185000,15067.060947418213,1830.6687861746004
190000,15057.156801223755,1464.413084910981
195000,15057.058572769165,1075.0245848427026
200000,15063.01999092102,1633.933273571225
205000,15068.045139312744,2029.2030058896107
210000,15049.04842376709,1485.6801783757346
215000,15050.034523010254,1230.2445400163235
220000,15064.004182815552,1148.924634848635
225000,15067.056894302368,1008.3629573011893
230000,15062.04605102539,1119.3691594745044
235000,15056.979179382324,1799.7009824438633
240000,15060.968399047852,1206.035650160211
245000,15060.041904449463,2369.299290302756
250000,15059.14330482483,1320.1873098976507
255000,15068.066596984863,1680.8300648299755
260000,15058.071374893188,1558.317615903271
265000,15058.068037033081,1233.259551743304
270000,15059.029579162598,1183.4872376172177
275000,15058.031558990479,1340.4621203993145
280000,15061.005353927612,1096.665561096644
285000,15080.027103424072,685.7701339661193
290000,15061.054468154907,1274.5426433213884
295000,15057.053565979004,1203.0209692104854
300000,15061.142921447754,1116.2344760027886
305000,15069.018840789795,1360.4508693708174
310000,15065.091371536255,1007.8213579488022
315000,15060.010194778442,983.8974259144154
320000,15058.043003082275,1166.7885251028204
325000,15067.004680633545,1617.737998647304
330000,15129.960060119629,1189.9035540774155
335000,15215.01874923706,1254.3452166364996
340000,15174.059867858887,1102.337968085924
345000,15143.052816390991,1115.4972534135081
350000,15060.984134674072,1117.529785732852
355000,15067.041873931885,1015.1844662408027
360000,15317.990779876709,976.4052138244631
365000,15133.041143417358,1067.0139612732655
370000,15155.048370361328,1236.2635921881506
375000,15059.029817581177,995.508341155401
380000,15089.100122451782,1071.6645792176037
385000,15067.061185836792,1093.081821815069
390000,15058.000564575195,1043.204855526035
395000,15057.173252105713,1059.364464400901
400000,15061.09356880188,1048.759457431509
405000,15068.126201629639,938.320902627274
410000,15059.114694595337,990.9005503138654
415000,15059.972763061523,1059.9387281394486
420000,15057.953834533691,983.0899327297709
425000,15059.09538269043,1173.7052634768384
430000,15109.991550445557,1279.5039610332733
435000,15079.994201660156,1397.1733595138626
440000,15074.17106628418,964.7975309124981
445000,15165.094375610352,944.844453333752
450000,15144.041538238525,1061.0081108412462
455000,15081.96234703064,988.9103808474732
460000,15094.04730796814,1943.6108165859382
465000,15107.079267501831,1004.1488295665682
470000,15074.98049736023,849.100071663283
475000,15065.081357955933,986.9894496377893
480000,15065.072298049927,1052.2882157440304
485000,15057.039976119995,975.3694656992578
490000,15066.038608551025,964.6711580459029
495000,15078.235626220703,888.106549103262
500000,15065.08755683899,1020.9678683169075
505000,15076.039791107178,935.914631822078
510000,15067.044496536255,1086.3127429676179
515000,15070.968627929688,991.2993600396514
520000,15069.131135940552,1084.9882628584535
525000,15076.080799102783,892.3877000479163
530000,15067.023992538452,920.4064010021532
535000,15070.151567459106,923.542588519696
540000,15065.08469581604,976.3752867589544
545000,15067.980289459229,894.0350464345394
550000,15069.08655166626,919.5402443894602
555000,15093.051195144653,1032.9786277159214
560000,15058.974742889404,1286.8506148205695
565000,15067.122220993042,876.8637455291934
570000,15067.191123962402,1142.4318553115286
575000,15066.057205200195,956.6304448524098
580000,15097.003936767578,883.0989973080885
585000,15139.957427978516,26902.589409968823
590000,15076.11632347107,873.8761433838004
595000,15065.044641494751,756.2554138073828
600000,15075.196027755737,883.3918324034436
605000,15071.056365966797,925.4924876592722
610000,15064.93067741394,1230.4508927135535
615000,15073.152780532837,744.3978516278133
620000,15056.985855102539,762.1837503768621
625000,15060.018301010132,1121.6030420595512
630000,15058.001518249512,534.682007770028
635000,15065.12999534607,1121.3872562412596
640000,15057.013988494873,1038.9277399086486
645000,15056.979656219482,750.7881842239867
650000,15057.013988494873,1021.8230640054854
655000,15078.081369400024,1126.3276281980593
660000,15051.029682159424,842.6804739250117
665000,15092.970848083496,1058.3950627410134
670000,15122.052192687988,1013.0619795775293
675000,15059.038877487183,753.2873478422064
680000,15050.013542175293,767.349018056475
685000,15060.052156448364,785.4935797296871
690000,15057.043313980103,1321.573894401958
695000,15057.035684585571,1286.0009102676825
700000,15072.97134399414,2419.976317479615
705000,15071.980237960815,764.1456709973215
710000,15059.035062789917,2209.3376512014106
715000,15041.085243225098,1894.6396509540893
720000,15052.069902420044,2018.2633021161528
725000,15051.045656204224,1672.7582995566795
730000,15049.01933670044,1502.9056481582647
735000,15049.04556274414,3025.5809359214345
740000,15056.983947753906,1047.4671443460134
745000,15057.02805519104,1252.224769084598
750000,15050.040245056152,1505.210606996239
755000,15063.034057617188,1394.5923918745839
760000,15050.109386444092,1131.6386418080801
765000,15051.994800567627,1144.4742722869644
770000,15054.057121276855,1390.4036701087239
775000,15049.020528793335,1168.0778612061363
780000,15040.976285934448,1087.157328944785
785000,15045.053720474243,2214.3724751411664
790000,15066.051959991455,1179.8884899807929
795000,15056.19740486145,1121.9155786832305
800000,15057.111978530884,1552.6953381592089
805000,15084.074258804321,1361.1410520575425
810000,15062.058448791504,1082.6100211784571
815000,15058.11619758606,874.6128391254525
820000,15059.032440185547,1819.3543619215484
825000,15058.045148849487,1249.3280127841758
830000,15056.977033615112,1227.9186966130148
835000,15058.123111724854,1148.9728141599503
840000,15049.049615859985,1276.0341815284633
845000,15057.034969329834,1103.1865635048432
850000,15058.015823364258,1294.4444609993805
855000,15078.162670135498,1521.2795314500408
860000,15057.959079742432,6971.743555954539
865000,15064.02850151062,1834.8814260639267
870000,15067.030668258667,1431.7064050000906
