steps,delta_training_time_ms,episode_reward
0,0.0,517.998939155384
5000,20645.59268951416,474.3301421257746
10000,15693.066835403442,875.144125996906
15000,16960.084915161133,445.2736006729232
20000,20071.05803489685,415.19657996694076
25000,20002.89034843445,1418.6651469083515
30000,17974.939823150635,1231.9081149371896
35000,18463.76132965088,1051.8724218568384
40000,17215.916872024536,680.4630329476963
45000,18567.012310028076,729.2370136807397
50000,19521.010398864746,501.55607033273134
55000,17224.193811416626,733.9389534785822
60000,20333.94718170166,789.1913306669845
65000,18057.32226371765,716.6671007094021
70000,20301.07069015503,1590.2904570580354
75000,15981.248378753662,799.5780610683694
80000,20120.08309364319,971.6151861878882
85000,17283.020973205566,1069.378871542107
90000,19578.00841331482,1406.719125493811
95000,16977.949142456055,761.550740004746
100000,19012.9497051239,902.5148129285975
105000,19067.034244537354,1077.113430020191
110000,17188.270568847656,940.457659378981
115000,18736.99450492859,1154.5083170961686
120000,19063.02809715271,806.4834059597702
125000,17865.9930229187,1007.262541154375
130000,18326.250791549683,905.0603014375386
135000,18366.063117980957,933.1263996225058
140000,17481.008529663086,819.8166935322125
145000,17920.074462890625,1261.7775858287312
150000,18475.173711776733,1096.7741257396324
155000,18361.15837097168,1147.3542407456014
160000,18579.06699180603,982.8875229924372
165000,18350.966930389404,1295.4459617726188
170000,18002.061128616333,1417.3239979981795
175000,17280.176877975464,956.1098081711712
180000,17835.960626602173,1075.108095564864
185000,18230.93032836914,818.4765466588386
190000,18804.004192352295,1041.0143158880269
195000,18479.048490524292,1134.2979067487604
200000,18743.983268737793,1762.5371208736321
205000,15123.047828674316,1137.5190990698418
210000,19509.04631614685,998.7619574190737
215000,15100.859642028809,1402.669307271397
220000,18863.17229270935,1292.7031388540188
225000,18408.244609832764,941.8682145969125
230000,19589.77222442627,1148.1769043781355
235000,18237.440824508667,991.5484219669293
240000,17558.042526245117,1061.2124271230582
245000,18219.050407409668,1172.0912306149658
250000,18940.151929855347,893.8608669495762
255000,18734.118223190308,1465.8113287114368
260000,18549.386739730835,929.5381457972558
265000,20021.307229995728,850.5950505309802
270000,19491.14418029785,866.7455994557367
275000,18440.16671180725,1094.6710996669008
